"analysis_mode","topology","n_per_grp","threshold_gap","reject_nwinv","reject_glstr","fp_edge_05","fp_edge_bonf","act_low","act_high","edge_low","edge_high","thresh_est_low","thresh_est_high","nwinv_flag","glstr_flag","edge_flag"
"weighted","dense",200,0.4,0.03,0.01,0.00560606060606061,0,0.198704166666667,0.361720833333333,0.00508954546659496,0.00943784288666758,-1.42887195501181,-0.643821068819754,"nominal","nominal","nominal"
"weighted","dense",200,0.8,0,0,0.00166666666666667,0,0.199283333333333,0.606729166666667,0.0042644654654606,0.0110779373421387,-1.42107332645287,0.305989262861802,"nominal","nominal","nominal"
"weighted","dense",200,1.2,0,0,0.000454545454545455,0,0.1976875,0.7875875,0.00460454344003503,0.00551554358943757,-1.43104529277928,1.24105575588568,"nominal","nominal","nominal"
"weighted","dense",500,0.4,0,0.01,0.00712121212121212,0,0.197488333333333,0.362905,0.00485384669684815,0.0259863216782485,-1.43030274727899,-0.748379178601613,"nominal","nominal","nominal"
"weighted","dense",500,0.8,0,0.08,0.00393939393939394,0,0.197936666666667,0.607833333333333,0.00535221533239896,0.0301497597841879,-1.42971492318729,0.108336020273207,"nominal","nominal","nominal"
"weighted","dense",500,1.2,0,0.01,0.00136363636363636,0,0.197316666666667,0.786296666666667,0.00641858253973569,0.00663272500624494,-1.43732183809682,1.20924809107573,"nominal","nominal","nominal"
"weighted","dense",1000,0.4,0,0.28,0.00727272727272727,0,0.198300833333333,0.364045,0.00794886892324089,0.118532038753965,-1.43650630129921,-1.16922474877306,"nominal","substantial inflation","nominal"
"weighted","dense",1000,0.8,0.02,1,0.0342424242424242,0,0.197669166666667,0.6068175,0.00695164190214037,0.139922015262076,-1.4353905334458,-0.639806903908023,"nominal","substantial inflation","nominal"
"weighted","dense",1000,1.2,0,0.2,0.00590909090909091,0,0.198020833333333,0.78677,0.00814658237119922,0.0120983310969782,-1.43918485592288,1.11640365217861,"nominal","substantial inflation","nominal"
"weighted","modular",200,0.4,0.07,0.04,0.00363636363636364,0,0.14765,0.224854166666667,0.00287757432139627,0.00321075155587894,-1.77643556586675,-1.25769220428147,"nominal","nominal","nominal"
"weighted","modular",200,0.8,0.09,0,0.00242424242424242,0,0.148170833333333,0.341854166666667,0.00246689006030204,0.00188421194896938,-1.77164650022427,-0.671662658223658,"mild inflation","nominal","nominal"
"weighted","modular",200,1.2,0.02,0,0.00196969696969697,0,0.148895833333333,0.491483333333333,0.00214560513136324,0.00255516205191979,-1.76533902416374,-0.0576889862645092,"nominal","nominal","nominal"
"weighted","modular",500,0.4,0.04,0.03,0.00181818181818182,0,0.147906666666667,0.225593333333333,0.001334709424209,0.00214338586184235,-1.76099236248596,-1.24580356511538,"nominal","nominal","nominal"
"weighted","modular",500,0.8,0.03,0,0.00106060606060606,0,0.1479,0.340988333333333,0.00147692868282683,0.00338971507567429,-1.76228549626272,-0.680816520745379,"nominal","nominal","nominal"
"weighted","modular",500,1.2,0.02,0,0.00106060606060606,0,0.148323333333333,0.48884,0.00175572075387448,0.00379359292147877,-1.75945253329139,-0.078790423142438,"nominal","nominal","nominal"
"weighted","modular",1000,0.4,0.03,0.01,0.00318181818181818,0,0.14711,0.225805,0.00185431155208438,0.00325907272304677,-1.76675576402233,-1.24830867349502,"nominal","nominal","nominal"
"weighted","modular",1000,0.8,0.01,0,0.00106060606060606,0,0.147059166666667,0.341588333333333,0.00149304573005391,0.00651056867760022,-1.76627282051374,-0.69828598009904,"nominal","nominal","nominal"
"weighted","modular",1000,1.2,0,0,0.00333333333333333,0,0.1473325,0.489664166666667,0.00173911253414947,0.0100482620402194,-1.7640809995885,-0.135188765615655,"nominal","nominal","nominal"
"weighted","ring",200,0.4,0.06,0.06,0.00242424242424242,0,0.127245833333333,0.182366666666667,0.00204569240292174,0.00143389442651266,-1.94793512539011,-1.51690537808665,"nominal","nominal","nominal"
"weighted","ring",200,0.8,0.1,0.09,0.00257575757575758,0,0.127829166666667,0.256454166666667,0.00264915298254795,0.000303334373434218,-1.94387795097304,-1.07315149974843,"mild inflation","mild inflation","nominal"
"weighted","ring",200,1.2,0.06,0.01,0.00136363636363636,0,0.127833333333333,0.350645833333333,0.00167671161399242,0.000466880981571026,-1.9427753231115,-0.623520794433056,"nominal","nominal","nominal"
"weighted","ring",500,0.4,0.04,0.05,0.00181818181818182,0,0.126655,0.182095,0.000680851829405983,0.000934268816046808,-1.93964756559682,-1.5094551208599,"nominal","nominal","nominal"
"weighted","ring",500,0.8,0.03,0,0.00136363636363636,0,0.126806666666667,0.256375,0.000868913370501457,0.000719362241734189,-1.93830513193874,-1.07102614224198,"nominal","nominal","nominal"
"weighted","ring",500,1.2,0.07,0,0.00212121212121212,0,0.127113333333333,0.349375,0.0013888237904084,0.00102249692510838,-1.93676696699266,-0.629530996625392,"nominal","nominal","nominal"
"weighted","ring",1000,0.4,0.01,0.01,0.000757575757575757,0,0.126785,0.182196666666667,0.000623473979475872,0.000820309482371355,-1.93468733693644,-1.50609060409179,"nominal","nominal","nominal"
"weighted","ring",1000,0.8,0.03,0.01,0.00181818181818182,0,0.12662,0.256649166666667,0.00140381743604963,0.00174662298830675,-1.93752127832776,-1.07161442475097,"nominal","nominal","nominal"
"weighted","ring",1000,1.2,0.03,0,0.00121212121212121,0,0.126830833333333,0.349339166666667,0.00147554925700211,0.00153283932750624,-1.9355754068286,-0.632302969780669,"nominal","nominal","nominal"
