"sigma_P","W_steps","sd_pbar_mean","sd_pbar_se","gap_gs_mean","gap_gs_se","gap_mae_mean","gap_mae_se","W_over_tauP","sigma_P_lab"
0.04,1,0.0653129202456896,0.000345016468460828,0.0839942493945188,0.031036248158394,-0.000543049989937577,0.000199466050441269,0.004,"0.04"
0.04,250,0.0562735422945269,0.00035020075857174,0.136067807471781,0.0269480284073844,0.00011203921068782,0.000305028727411671,1,"0.04"
0.04,1250,0.0382481202785687,0.000186050079903327,-0.00265400503982625,0.0200654262232447,-0.000717621912352138,0.000272235202638438,5,"0.04"
0.04,5000,0.0225944153370999,9.57479172762383e-05,-0.00809400995365708,0.0145701446717915,-0.000197079013696607,0.000261540565801572,20,"0.04"
0.15,1,0.244547637137372,0.00187325192353079,1.70850871402801,0.0973272556663797,0.00580548149285273,0.000879600041014552,0.004,"0.15"
0.15,250,0.211465625667449,0.00117366317438267,1.30639801517214,0.0905788756509436,0.00319092293271987,0.0011297425508548,1,"0.15"
0.15,1250,0.145183899565247,0.000910992197021947,0.701667674062519,0.0683668132500726,0.000532251485952368,0.000712716125503953,5,"0.15"
0.15,5000,0.0855012229345362,0.000355788303607736,0.176817668705471,0.0255942009518693,-0.000242773372929744,0.000345505427970622,20,"0.15"
0.35,1,0.570583759261966,0.00323373449046255,7.18468138536888,0.247456234454817,0.0614658554004944,0.00415315099645869,0.004,"0.35"
0.35,250,0.487081805541708,0.00245275281348567,5.97885076152994,0.163438995032867,0.0446617921757881,0.00203628949910259,1,"0.35"
0.35,1250,0.337535327652075,0.00168259505780408,3.14803960253601,0.139686221158797,0.0145131642833169,0.00184636409996693,5,"0.35"
0.35,5000,0.198551141084958,0.00139203002463236,1.15217673123279,0.100341136289637,0.00388474297611496,0.00128420088967767,20,"0.35"
0.65,1,1.05145711953401,0.00641283923751929,12.3352795673244,0.244856931165198,0.132165525279985,0.00233471910752558,0.004,"0.65"
0.65,250,0.907603051150684,0.00363514947484053,10.7701320563974,0.203897831957843,0.108274624651629,0.00315828625505674,1,"0.65"
0.65,1250,0.623556590158523,0.00274796374629432,7.71398987124857,0.186363236848751,0.0715357335461309,0.00374829033403053,5,"0.65"
0.65,5000,0.365303554770596,0.00232460189328954,3.86331661176009,0.22176787397573,0.0244106430374437,0.00228599227679578,20,"0.65"
