"sigma_P","W_steps","sd_pbar_lo_mean","sd_pbar_lo_se","sd_pbar_hi_mean","sd_pbar_hi_se","gs_raw_lo_mean","gs_raw_lo_se","gs_raw_hi_mean","gs_raw_hi_se","gs_adj_lo_mean","gs_adj_lo_se","gs_adj_hi_mean","gs_adj_hi_se","mae_raw_lo_mean","mae_raw_lo_se","mae_raw_hi_mean","mae_raw_hi_se","mae_adj_lo_mean","mae_adj_lo_se","mae_adj_hi_mean","mae_adj_hi_se","true_gs_mean","true_gs_se","W_over_tauP"
0.04,1,0.0649372346634333,0.000409383792139436,0.0656886058279458,0.000485222966426995,14.1479898351436,0.782262100141883,13.9913661280051,0.473571348563733,14.0662226843144,0.717359994068101,13.9051447800452,0.4868230899115,0.158269454464721,0.0119310207632554,0.14657274211405,0.00454332131086957,0.158745220559218,0.011496772961436,0.147183075999429,0.00467881621892284,8.18273309637059,0.0609950669679951,0.004
0.04,250,0.0563835578593185,0.000359430009814497,0.0561635267297354,0.000530642588941669,14.2203447487257,0.786838294019212,13.8434806293114,0.791815459198105,14.0455387944095,0.754675088131049,13.746150968684,0.771938449084234,0.161092908747663,0.0148866630589631,0.143470567123944,0.00561839937717947,0.160906562236948,0.0146446844174177,0.143432835213283,0.00521074520903021,8.18273309637059,0.0609950669679951,1
0.04,1250,0.0380250789328999,0.000247714685791952,0.0384711616242376,0.000230312706048807,14.6839118354004,0.307510430013525,13.8114169719273,0.119685313879737,14.6708807978469,0.310320167766487,13.8297560195604,0.152315823952486,0.170667025564017,0.00342394272989824,0.146442834063524,0.00805934464424399,0.171086549995378,0.00350407244209085,0.147458553456867,0.0084144143442596,8.18273309637059,0.0609950669679951,5
0.04,5000,0.0223039902489433,7.68337949076042e-05,0.0228848404252566,5.54720147783223e-06,15.1719929611328,0.248862752235858,13.2986453099303,0.389136134639179,15.1758040681562,0.244657733046756,13.3110222228142,0.413208994986136,0.168493863162288,0.00747383874711501,0.145200368615752,0.00685145397337748,0.168726906314991,0.00772006131512055,0.145361483490443,0.00712458473560331,8.18273309637059,0.0609950669679951,20
0.15,1,0.245492690998777,0.00285969715854354,0.243602583275968,0.00244699805167421,16.4082642968639,0.473994139431412,15.0149912045659,0.305426909618169,14.6633677672307,0.367898310809743,13.3428703061431,0.37602254986573,0.169425127934338,0.00355532607565754,0.140069100330432,0.00370609428423685,0.163537382948688,0.00382182987736881,0.134345882330377,0.00458650284127338,8.18273309637059,0.0609950669679951,0.004
0.15,250,0.210795197416736,0.0029292071278025,0.212136053918161,0.000271375720677673,15.6054154928347,0.451233623147468,14.7696526796424,0.273316405122723,14.2761349738527,0.446883518374186,13.4861371682801,0.222447981907203,0.161290895050901,0.00220634711448,0.147435384732832,0.00373483204178905,0.159645382703498,0.002486080688762,0.142699051214796,0.00422606543613484,8.18273309637059,0.0609950669679951,1
0.15,1250,0.143262806636633,0.00143630239584708,0.14710499249386,0.00130722095836035,15.3471852793585,0.258893802247411,13.8938137497455,0.120497962945122,14.7231313957546,0.295008749998269,13.1145322852243,0.12157117023224,0.165495071837507,0.00479561770581323,0.13821250143381,0.00523797202535548,0.166170617587608,0.00625686412079401,0.136472452711805,0.00556149030069668,8.18273309637059,0.0609950669679951,5
0.15,5000,0.0840502234692232,0.000201194372069091,0.0869522223998491,0.000357600982431346,14.6282545738652,0.53568585869715,14.3422178369812,0.0823166143101452,14.4499254226987,0.564640595275805,14.1669116507367,0.101511889577485,0.162024755659765,0.00596629313611357,0.153238907225253,0.00413611387661678,0.162182472777026,0.00563751427838093,0.153566736853851,0.00431324269199557,8.18273309637059,0.0609950669679951,20
0.35,1,0.5741936561309,0.00582824959894385,0.566973862393033,0.00231852245466379,21.3635557851423,0.483032609542942,20.7113916696178,0.271425534634933,13.9593920235923,0.390746475469558,13.7461926604301,0.151769655653052,0.211087419371526,0.00683944214137106,0.205882938957722,0.00309434316290141,0.149216105914568,0.00198616920456345,0.144822541613691,0.00399447978994193,8.18273309637059,0.0609950669679951,0.004
0.35,250,0.483770118137661,0.0041115724841289,0.490393492945755,0.000911554087406798,19.7575484285684,0.611183600743804,19.5594555303933,0.546831626330439,13.7570963461013,0.64438175447036,13.6022060898004,0.804883140716632,0.199409317857,0.00804625619470994,0.18776012773735,0.00807853231089346,0.153864786244539,0.00804672926368448,0.143981074998235,0.00536426174571762,8.18273309637059,0.0609950669679951,1
