"arm","symptom_i","symptom_j","true_omega","est_omega","true_nonzero","error"
"baseline","anhedonia","depressed",0.45,0.507737135066507,TRUE,0.057737135066507
"baseline","anhedonia","sleep",0,0.11597964263338,FALSE,0.11597964263338
"baseline","depressed","sleep",0,-0.0272907284649922,FALSE,-0.0272907284649922
"baseline","anhedonia","energy",0.25,0.234695501372309,TRUE,-0.0153044986276911
"baseline","depressed","energy",0,0.00539248678304728,FALSE,0.00539248678304728
"baseline","sleep","energy",0.4,0.344235098609126,TRUE,-0.0557649013908736
"baseline","anhedonia","appetite",0,0.0534266653526992,FALSE,0.0534266653526992
"baseline","depressed","appetite",0,-0.0506842475882202,FALSE,-0.0506842475882202
"baseline","sleep","appetite",0,-0.0153434357210365,FALSE,-0.0153434357210365
"baseline","energy","appetite",0.25,0.185704423387476,TRUE,-0.0642955766125236
"baseline","anhedonia","guilt",0,-0.0529213979129394,FALSE,-0.0529213979129394
"baseline","depressed","guilt",0.35,0.385658935117098,TRUE,0.0356589351170978
"baseline","sleep","guilt",0,0.131192054630206,FALSE,0.131192054630206
"baseline","energy","guilt",0,-0.0697565360677455,FALSE,-0.0697565360677455
"baseline","appetite","guilt",0,-0.0353124215086917,FALSE,-0.0353124215086917
"baseline","anhedonia","concentration",0.2,0.241124178466973,TRUE,0.0411241784669732
"baseline","depressed","concentration",0,-0.000429654180830076,FALSE,-0.000429654180830076
"baseline","sleep","concentration",0,-0.00504504100479478,FALSE,-0.00504504100479478
"baseline","energy","concentration",0.35,0.370375461450283,TRUE,0.0203754614502833
"baseline","appetite","concentration",0,-0.112012495447497,FALSE,-0.112012495447497
"baseline","guilt","concentration",0,-0.107095166405552,FALSE,-0.107095166405552
"baseline","anhedonia","psychomotor",0,0.0307546128463633,FALSE,0.0307546128463633
"baseline","depressed","psychomotor",0,0.0374717571093959,FALSE,0.0374717571093959
"baseline","sleep","psychomotor",0,-0.0671760237899206,FALSE,-0.0671760237899206
"baseline","energy","psychomotor",0,-0.0957615965183932,FALSE,-0.0957615965183932
"baseline","appetite","psychomotor",0,0.0994674983520871,FALSE,0.0994674983520871
"baseline","guilt","psychomotor",0,-0.153731307022917,FALSE,-0.153731307022917
"baseline","concentration","psychomotor",0.25,0.307984808672984,TRUE,0.0579848086729843
"baseline","anhedonia","suicidal",0,-0.102940193011825,FALSE,-0.102940193011825
"baseline","depressed","suicidal",0.3,0.234745224128868,TRUE,-0.0652547758711319
"baseline","sleep","suicidal",0,-0.0388033769274629,FALSE,-0.0388033769274629
"baseline","energy","suicidal",0,-0.0234177308972686,FALSE,-0.0234177308972686
"baseline","appetite","suicidal",0,-0.0945065567650492,FALSE,-0.0945065567650492
"baseline","guilt","suicidal",0.25,0.127675171720017,TRUE,-0.122324828279983
"baseline","concentration","suicidal",0,-0.0321867882925648,FALSE,-0.0321867882925648
"baseline","psychomotor","suicidal",0,-0.106209768403617,FALSE,-0.106209768403617
"naive","anhedonia","depressed",0.45,0.579840456902698,TRUE,0.129840456902698
"naive","anhedonia","sleep",0,0.100175448932867,FALSE,0.100175448932867
"naive","depressed","sleep",0,0.0493602963599064,FALSE,0.0493602963599064
"naive","anhedonia","energy",0.25,0.390994804431365,TRUE,0.140994804431365
"naive","depressed","energy",0,0.0290848386666502,FALSE,0.0290848386666502
"naive","sleep","energy",0.4,0.433165160043825,TRUE,0.0331651600438255
"naive","anhedonia","appetite",0,0.0896019252149161,FALSE,0.0896019252149161
"naive","depressed","appetite",0,0.0531915221397412,FALSE,0.0531915221397412
"naive","sleep","appetite",0,0.103576980394822,FALSE,0.103576980394822
"naive","energy","appetite",0.25,0.302157109660265,TRUE,0.0521571096602653
"naive","anhedonia","guilt",0,0.118447692247253,FALSE,0.118447692247253
"naive","depressed","guilt",0.35,0.454164240414251,TRUE,0.104164240414251
"naive","sleep","guilt",0,0.0105405867076978,FALSE,0.0105405867076978
"naive","energy","guilt",0,0.0828463477485435,FALSE,0.0828463477485435
"naive","appetite","guilt",0,0.11426830816244,FALSE,0.11426830816244
"naive","anhedonia","concentration",0.2,0.322169332930707,TRUE,0.122169332930707
"naive","depressed","concentration",0,0.0659349866522858,FALSE,0.0659349866522858
"naive","sleep","concentration",0,0.0963288381325626,FALSE,0.0963288381325626
"naive","energy","concentration",0.35,0.406965718122886,TRUE,0.0569657181228864
"naive","appetite","concentration",0,0.0718357649218925,FALSE,0.0718357649218925
"naive","guilt","concentration",0,0.0540609158199968,FALSE,0.0540609158199968
"naive","anhedonia","psychomotor",0,0.0725311072330578,FALSE,0.0725311072330578
"naive","depressed","psychomotor",0,0.0496906620818484,FALSE,0.0496906620818484
"naive","sleep","psychomotor",0,0.084018510403357,FALSE,0.084018510403357
"naive","energy","psychomotor",0,0.0566426978714282,FALSE,0.0566426978714282
"naive","appetite","psychomotor",0,0.0267946738432365,FALSE,0.0267946738432365
"naive","guilt","psychomotor",0,0.0997497168841604,FALSE,0.0997497168841604
"naive","concentration","psychomotor",0.25,0.26482571236275,TRUE,0.0148257123627501
"naive","anhedonia","suicidal",0,0.203908207447751,FALSE,0.203908207447751
"naive","depressed","suicidal",0.3,0.477981930056744,TRUE,0.177981930056744
"naive","sleep","suicidal",0,0.121063389681161,FALSE,0.121063389681161
"naive","energy","suicidal",0,0.120063428329002,FALSE,0.120063428329002
"naive","appetite","suicidal",0,0.0718364467763041,FALSE,0.0718364467763041
"naive","guilt","suicidal",0.25,0.332188550759182,TRUE,0.082188550759182
"naive","concentration","suicidal",0,0.0225920363103495,FALSE,0.0225920363103495
"naive","psychomotor","suicidal",0,0.154649678198452,FALSE,0.154649678198452
"adjusted","anhedonia","depressed",0.45,0.481715316515226,TRUE,0.0317153165152259
"adjusted","anhedonia","sleep",0,0.0317748256052377,FALSE,0.0317748256052377
"adjusted","depressed","sleep",0,-0.0214262087266117,FALSE,-0.0214262087266117
"adjusted","anhedonia","energy",0.25,0.309982030824342,TRUE,0.0599820308243424
"adjusted","depressed","energy",0,-0.0543161361248506,FALSE,-0.0543161361248506
"adjusted","sleep","energy",0.4,0.374616383621817,TRUE,-0.0253836163781825
"adjusted","anhedonia","appetite",0,0.0192678817033265,FALSE,0.0192678817033265
"adjusted","depressed","appetite",0,-0.0192552025070798,FALSE,-0.0192552025070798
"adjusted","sleep","appetite",0,0.0526862104718628,FALSE,0.0526862104718628
"adjusted","energy","appetite",0.25,0.242208583211909,TRUE,-0.00779141678809145
"adjusted","anhedonia","guilt",0,0.0093592364890254,FALSE,0.0093592364890254
"adjusted","depressed","guilt",0.35,0.341659602909248,TRUE,-0.00834039709075163
"adjusted","sleep","guilt",0,-0.0677397871001878,FALSE,-0.0677397871001878
"adjusted","energy","guilt",0,-0.0104347617121155,FALSE,-0.0104347617121155
"adjusted","appetite","guilt",0,0.0336486913497261,FALSE,0.0336486913497261
"adjusted","anhedonia","concentration",0.2,0.239147822661573,TRUE,0.0391478226615733
"adjusted","depressed","concentration",0,-0.019684357206859,FALSE,-0.019684357206859
"adjusted","sleep","concentration",0,0.036423454594842,FALSE,0.036423454594842
"adjusted","energy","concentration",0.35,0.33641345511655,TRUE,-0.0135865448834505
"adjusted","appetite","concentration",0,0.0101466593102816,FALSE,0.0101466593102816
"adjusted","guilt","concentration",0,-0.041743874056872,FALSE,-0.041743874056872
"adjusted","anhedonia","psychomotor",0,0.00939061407004125,FALSE,0.00939061407004125
"adjusted","depressed","psychomotor",0,-0.0148483165717228,FALSE,-0.0148483165717228
"adjusted","sleep","psychomotor",0,0.0381948756077881,FALSE,0.0381948756077881
"adjusted","energy","psychomotor",0,0.00243695645624013,FALSE,0.00243695645624013
"adjusted","appetite","psychomotor",0,-0.0199303311033529,FALSE,-0.0199303311033529
"adjusted","guilt","psychomotor",0,0.0277086998443403,FALSE,0.0277086998443403
"adjusted","concentration","psychomotor",0.25,0.209348934192442,TRUE,-0.0406510658075578
"adjusted","anhedonia","suicidal",0,0.138417143914627,FALSE,0.138417143914627
"adjusted","depressed","suicidal",0.3,0.410379509022171,TRUE,0.110379509022171
"adjusted","sleep","suicidal",0,0.0746005178279021,FALSE,0.0746005178279021
"adjusted","energy","suicidal",0,0.0644252379092174,FALSE,0.0644252379092174
"adjusted","appetite","suicidal",0,0.023238224463586,FALSE,0.023238224463586
"adjusted","guilt","suicidal",0.25,0.258321082941673,TRUE,0.00832108294167311
"adjusted","concentration","suicidal",0,-0.034174313105407,FALSE,-0.034174313105407
"adjusted","psychomotor","suicidal",0,0.111079926781055,FALSE,0.111079926781055
